set,indice
train,21269
train,17766
train,28004
train,50912
train,37963
train,31679
train,33479
train,54392
train,27073
train,1680
train,25960
train,11298
train,28671
train,12701
train,28337
train,12487
train,55093
train,13697
train,50631
train,13704
train,37923
train,54372
train,44208
train,21888
train,39991
train,38012
train,59902
train,49586
train,22777
train,37442
train,49084
train,31842
train,20186
train,57898
train,16840
train,33762
train,13772
train,4299
train,10790
train,39333
train,33066
train,12617
train,34274
train,39914
train,8673
train,54292
train,13269
train,55781
train,51259
train,3304
train,7399
train,24314
train,9223
train,51333
train,12821
train,49108
train,14331
train,7493
train,2470
train,45560
train,60515
train,9475
train,11045
train,30516
train,7145
train,43700
train,61615
train,62124
train,20970
train,46730
train,31151
train,18395
train,39404
train,47799
train,41087
train,1116
train,20616
train,2703
train,9971
train,59452
train,1648
train,34980
train,23016
train,7380
train,61583
train,19051
train,61397
train,34694
train,27929
train,53950
train,59186
train,34225
train,15663
train,17000
train,7153
train,29284
train,22157
train,18136
train,46609
train,42252
train,6481
train,17382
train,42857
train,3077
train,7746
train,50190
train,50976
train,456
train,24156
train,7946
train,40274
train,35829
train,57125
train,20664
train,37565
train,57841
train,47922
train,44951
train,6385
train,4211
train,55782
train,27384
train,21790
train,7402
train,47611
train,23039
train,46881
train,33009
train,53197
train,38477
train,50512
train,53809
train,21012
train,33469
train,54015
train,13149
train,15667
train,18923
train,30395
train,12038
train,24706
train,40256
train,1244
train,2876
train,60085
train,49129
train,5796
train,6172
train,10794
train,39819
train,47943
train,19027
train,33768
train,14592
train,45043
train,43803
train,12278
train,34979
train,49623
train,21969
train,41972
train,39980
train,41785
train,59652
train,59050
train,17413
train,4401
train,26877
train,36698
train,35124
train,17665
train,49980
train,20744
train,43635
train,21653
train,17835
train,28312
train,47679
train,56927
train,16376
train,30240
train,42191
train,60078
train,19182
train,20379
train,4002
train,19294
train,19255
train,18443
train,38680
train,25825
train,2465
train,46231
train,6018
train,48748
train,55061
train,41822
train,17375
train,24257
train,38953
train,31522
train,32317
train,15
train,15393
train,3076
train,26395
train,623
train,19385
train,28062
train,7186
train,37254
train,31220
train,45770
train,56539
train,3396
train,27189
train,49673
train,39670
train,6456
train,39677
train,41169
train,15962
train,4978
train,34902
train,33498
train,55745
train,53573
train,51636
train,30580
train,30814
train,3384
train,60977
train,58937
train,41638
train,7589
train,19386
train,30768
train,29952
train,36568
train,40136
train,26376
train,61361
train,4201
train,43511
train,43447
train,35773
train,48887
train,29781
train,27757
train,45829
train,490
train,38774
train,38039
train,18077
train,15278
train,43181
train,39691
train,36876
train,49952
train,14262
train,38370
train,55308
train,19771
train,32564
train,35566
train,38123
train,30632
train,23402
train,33803
train,15072
train,35476
train,19916
train,44669
train,49061
train,30249
train,35272
train,11870
train,48923
train,21569
train,20993
train,186
train,36590
train,60462
train,45148
train,22855
train,54003
train,28840
train,9185
train,30904
train,29797
train,35207
train,17447
train,47621
train,15133
train,55689
train,26469
train,13349
train,55106
train,40579
train,58336
train,38901
train,8207
train,42421
train,13055
train,30194
train,6025
train,29464
train,6397
train,48917
train,58567
train,9023
train,40617
train,31952
train,30708
train,14092
train,28508
train,25653
train,13045
train,11841
train,42909
train,52528
train,10564
train,38217
train,27195
train,34302
train,5352
train,25796
train,2022
train,32474
train,1795
train,59302
train,56282
train,27500
train,25692
train,7872
train,17085
train,20402
train,13575
train,26819
train,44674
train,12075
train,2542
train,34052
train,5459
train,46918
train,14832
train,51192
train,18440
train,37799
train,43996
train,10592
train,14573
train,57242
train,42172
train,10476
train,55800
train,636
train,13330
train,41564
train,57726
train,23394
train,22932
train,14380
train,15593
train,56760
train,30684
train,49135
train,61426
train,48244
train,3535
train,19050
train,40
train,32891
train,8107
train,49500
train,40884
train,27370
train,20280
train,25885
train,36595
train,19535
train,53726
train,3064
train,35601
train,38933
train,13382
train,56285
train,34083
train,39113
train,14002
train,24604
train,40470
train,10554
train,25762
train,27859
train,9625
train,20279
train,57252
train,32022
train,2289
train,48269
train,13623
train,26323
train,55961
train,16719
train,20392
train,47067
train,8602
train,43215
train,26018
train,14926
train,32173
train,54599
train,46570
train,61731
train,43674
train,13651
train,28218
train,34463
train,52037
train,58222
train,38116
train,40732
train,29281
train,42073
train,9974
train,10599
train,48698
train,982
train,30815
train,55960
train,50495
train,48456
train,28526
train,39020
train,25017
train,39913
train,17595
train,44505
train,25531
train,15288
train,39288
train,38572
train,56619
train,41156
train,8156
train,43219
train,53109
train,29769
train,22337
train,4120
train,49419
train,55047
train,16113
train,48612
train,36594
train,53583
train,9909
train,29423
train,34668
train,38221
train,6469
train,14918
train,60461
train,34744
train,49452
train,61125
train,52337
train,43994
train,8047
train,30577
train,25780
train,42299
train,11120
train,57910
train,59572
train,13279
train,22202
train,28187
train,38110
train,48850
train,29556
train,53920
train,6650
train,3808
train,40041
train,19600
train,36331
train,22289
train,28189
train,25905
train,31380
train,7026
train,46796
train,12205
train,14216
train,13878
train,50301
train,47265
train,30490
train,42564
train,12191
train,22748
train,30269
train,61682
train,20484
train,31973
train,18689
train,14734
train,42102
train,42319
train,3406
train,56243
train,25691
train,54133
train,13099
train,10150
train,52759
train,33192
train,23598
train,12473
train,46348
train,18643
train,46967
train,56787
train,50156
train,6976
train,56241
train,20346
train,10093
train,20879
train,3453
train,29290
train,39302
train,50407
train,13671
train,61218
train,5717
train,57978
train,14964
train,49581
train,36500
train,11158
train,35722
train,47604
train,53695
train,48194
train,22520
train,27476
train,40356
train,48949
train,43094
train,16344
train,37471
train,29132
train,11650
train,10151
train,37869
train,13826
train,55362
train,27867
train,29930
train,34807
train,12265
train,56499
train,48782
train,8768
train,61607
train,15235
train,8307
train,12437
train,20343
train,60502
train,9027
train,61072
train,35618
train,37305
train,6590
train,5840
train,23519
train,46421
train,1582
train,61776
train,52113
train,16192
train,11846
train,34054
train,14454
train,16525
train,30448
train,14730
train,25747
train,41594
train,12535
train,24968
train,22977
train,35677
train,50734
train,1662
train,38242
train,54740
train,50362
train,49472
train,54661
train,35843
train,49545
train,40555
train,4909
train,44968
train,14022
train,21248
train,49627
train,31321
train,12222
train,35539
train,3873
train,24556
train,48977
train,35755
train,4554
train,42419
train,22235
train,52097
train,27546
train,20788
train,24432
train,46441
train,26055
train,44441
train,61693
train,4189
train,5488
train,26860
train,6298
train,28457
train,25420
train,17396
train,48765
train,55727
train,44859
train,35357
train,26660
train,53549
train,21865
train,35648
train,45146
train,53545
train,48040
train,56477
train,2633
train,50477
train,32599
train,41458
train,60068
train,28456
train,18715
train,61807
train,14986
train,3457
train,8550
train,41984
train,35245
train,38537
train,7350
train,57959
train,39898
train,38623
train,43975
train,17631
train,6987
train,26905
train,26527
train,54515
train,58935
train,44361
train,35661
train,30972
train,24520
train,22487
train,24881
train,35934
train,10357
train,45690
train,19971
train,34044
train,20854
train,8770
train,6601
train,33739
train,15916
train,36801
train,37355
train,9867
train,42205
train,46858
train,22898
train,44852
train,43710
train,41761
train,15059
train,45697
train,40413
train,53456
train,8774
train,51462
train,34039
train,3979
train,26401
train,31147
train,15968
train,16493
train,39518
train,54600
train,50024
train,7752
train,59437
train,60289
train,53397
train,35454
train,35879
train,6369
train,37715
train,11070
train,19881
train,9331
train,10085
train,4145
train,44714
train,50529
train,36076
train,49136
train,28039
train,46787
train,15428
train,37614
train,14131
train,13373
train,54655
train,50536
train,52855
train,15202
train,43999
train,21723
train,9356
train,2948
train,41294
train,46123
train,5302
train,4022
train,14591
train,52556
train,61158
train,42104
train,4281
train,13534
train,42403
train,54309
train,4331
train,11217
train,6938
train,52838
train,55115
train,55108
train,2262
train,21606
train,28636
train,49101
train,57673
train,20584
train,26206
train,14320
train,19680
train,22229
train,59735
train,36817
train,52441
train,26551
train,30130
train,17263
train,31387
train,55540
train,32233
train,18490
train,62052
train,34431
train,47092
train,10537
train,53650
train,45904
train,536
train,8078
train,25302
train,2443
train,28700
train,43889
train,39148
train,25951
train,53102
train,12243
train,26478
train,17141
train,23045
train,51446
train,47841
train,35292
train,37391
train,33225
train,378
train,34664
train,7997
train,35502
train,35707
train,61033
train,44221
train,8592
train,56398
train,58736
train,56999
train,58969
train,45023
train,2194
train,55083
train,46068
train,49492
train,58000
train,61409
train,44071
train,23360
train,26655
train,27249
train,62004
train,47491
train,23744
train,14185
train,24001
train,61609
train,2959
train,56359
train,30686
train,46669
train,2592
train,26556
train,30560
train,12090
train,28619
train,58465
train,53369
train,13251
train,12440
train,60884
train,959
train,36461
train,49583
train,54781
train,46048
train,58824
train,48450
train,47335
train,25541
train,3615
train,51435
train,43029
train,52193
train,30964
train,39084
train,39713
train,45003
train,44128
train,32320
train,7283
train,51497
train,30157
train,25650
train,4708
train,49918
train,38120
train,39329
train,4541
train,39178
train,42106
train,39631
train,9389
train,28119
train,41004
train,42040
train,7682
train,19984
train,18799
train,49170
train,27065
train,37166
train,47243
train,21668
train,55247
train,12655
train,4386
train,596
train,32095
train,12310
train,40552
train,43516
train,946
train,38654
train,42528
train,19599
train,30508
train,52508
train,33704
train,16305
train,43069
train,29085
train,31865
train,23343
train,901
train,31133
train,7864
train,46160
train,61504
train,5731
train,18574
train,6029
train,31411
train,24435
train,26590
train,13409
train,14627
train,60507
train,44230
train,25401
train,31839
train,2344
train,2880
train,31575
train,56420
train,26461
train,45505
train,29966
train,34300
train,27150
train,34350
train,5486
train,21736
train,61544
train,32242
train,49290
train,48490
train,27623
train,29041
train,36128
train,33364
train,39468
train,40243
train,36307
train,6011
train,27902
train,28148
train,59550
train,895
train,38522
train,9908
train,28569
train,60889
train,15864
train,22797
train,28892
train,35599
train,56278
train,14519
train,61311
train,47081
train,46678
train,6674
train,46913
train,43818
train,12801
train,32130
train,52947
train,25743
train,21593
train,58770
train,29406
train,33519
train,59005
train,29283
train,11544
train,56421
train,36980
train,44124
train,59118
train,583
train,40833
train,5446
train,20931
train,8454
train,4504
train,3480
train,2762
train,13635
train,45996
train,20059
train,36239
train,8606
train,37025
train,4701
train,4164
train,15561
train,60531
train,46816
train,3782
train,49914
train,24989
train,43891
train,40800
train,18611
train,54295
train,61139
train,24697
train,33976
train,18644
train,23525
train,55720
train,51870
train,45522
train,46245
train,33512
train,27154
train,32918
train,22614
train,20371
train,5186
train,52831
train,15316
train,12784
train,50018
train,3685
train,7726
train,51735
train,21802
train,58645
train,21262
train,57058
train,16554
train,22733
train,14481
train,47758
train,43160
train,53405
train,47829
train,13185
train,34370
train,20158
train,13811
train,971
train,12281
train,36092
train,32961
train,42979
train,47261
train,43952
train,62059
train,14358
train,27390
train,24531
train,29500
train,30381
train,2767
train,41664
train,16977
train,17313
train,31279
train,53994
train,41341
train,34624
train,58743
train,22105
train,7926
train,47996
train,46663
train,37436
train,39172
train,59450
train,33572
train,57976
train,45651
train,3693
train,9912
train,5658
train,52849
train,35795
train,47567
train,32042
train,7049
train,48044
train,60042
train,48824
train,53656
train,43828
train,54461
train,14470
train,35910
train,26686
train,28343
train,9671
train,14520
train,49244
train,34548
train,34365
train,40985
train,563
train,35581
train,4811
train,2683
train,13978
train,8772
train,61147
train,42649
train,57768
train,6075
train,59284
train,59257
train,53086
train,58844
train,6661
train,48482
train,58458
train,37463
train,8316
train,32730
train,37476
train,51071
train,61138
train,40656
train,11701
train,34244
train,42373
train,46960
train,2560
train,16078
train,24373
train,19800
train,60002
train,34504
train,20265
train,57121
train,48548
train,50630
train,9308
train,19355
train,19305
train,38858
train,28677
train,25813
train,26760
train,37508
train,6140
train,8253
train,14609
train,50305
train,867
train,4903
train,49866
train,16967
train,17913
train,10972
train,8110
train,494
train,6461
train,4298
train,33266
train,52186
train,12390
train,4078
train,60662
train,18319
train,4658
train,48138
train,11421
train,5800
train,53952
train,29161
train,44924
train,58154
train,23345
train,14021
train,2531
train,27925
train,16100
train,29969
train,29677
train,36467
train,52242
train,13284
train,59416
train,54685
train,10478
train,38660
train,14456
train,24907
train,45492
train,11339
train,59356
train,30662
train,53216
train,33716
train,17526
train,57338
train,46132
train,47272
train,22544
train,9471
train,30500
train,45214
train,20430
train,52468
train,5806
train,36056
train,7856
train,8206
train,34755
train,46554
train,43539
train,50328
train,6326
train,34547
train,26061
train,36437
train,20749
train,60338
train,52423
train,41587
train,60651
train,50997
train,1893
train,10854
train,8980
train,26953
train,17662
train,49167
train,46920
train,34517
train,10998
train,27265
train,47214
train,29264
train,60762
train,28414
train,35833
train,7290
train,7167
train,16377
train,17571
train,6113
train,21404
train,58006
train,51168
train,44323
train,58956
train,50591
train,56472
train,61689
train,29323
train,39937
train,23606
train,14516
train,29447
train,58015
train,21410
train,14661
train,44820
train,55996
train,56487
train,30474
train,24690
train,56174
train,11039
train,42019
train,148
train,19905
train,22793
train,6757
train,42388
train,16768
train,27177
train,55650
train,30983
train,47331
train,15374
train,53677
train,38150
train,51457
train,23701
train,36333
train,61986
train,52246
train,39837
train,48614
train,403
train,13302
train,55738
train,60276
train,45611
train,2233
train,17619
train,26473
train,29782
train,20875
train,61518
train,44775
train,26349
train,25649
train,54310
train,51663
train,29536
train,52069
train,7052
train,2139
train,42289
train,58381
train,34550
train,2793
train,31647
train,56366
train,31059
train,2177
train,29574
train,405
train,23108
train,29239
train,52724
train,5460
train,46483
train,44318
train,4017
train,12887
train,5106
train,43785
train,55322
train,30902
train,31523
train,27588
train,8747
train,43410
train,58028
train,40183
train,40368
train,42320
train,42097
train,54221
train,15134
train,1094
train,59959
train,1987
train,38645
train,56503
train,16690
train,55069
train,2500
train,7582
train,60408
train,51045
train,20815
train,12916
train,27935
train,56578
train,20184
train,38551
train,48813
train,7177
train,6913
train,32251
train,59099
train,11941
train,18032
train,40056
train,1636
train,42597
train,56896
train,18292
train,36951
train,6286
train,48632
train,25591
train,19804
train,43491
train,35227
train,31168
train,19029
train,1123
train,44274
train,19235
train,25022
train,42839
train,42497
train,16732
train,38771
train,61438
train,51233
train,24898
train,10536
train,6573
train,7850
train,8044
train,1839
train,59117
train,6720
train,22196
train,27117
train,36216
train,57776
train,15505
train,35519
train,24050
train,22058
train,20445
train,17410
train,37378
train,25888
train,48340
train,58454
train,30783
train,20525
train,30864
train,61994
train,11099
train,49144
train,45634
train,11054
train,42361
train,35891
train,14038
train,38653
train,35540
train,40454
train,33839
train,54294
train,13181
train,19067
train,58122
train,32547
train,14080
train,28107
train,1804
train,22240
train,3221
train,42580
train,42142
train,30004
train,34404
train,317
train,12861
train,14689
train,48738
train,60668
train,56712
train,34153
train,20682
train,26573
train,55638
train,48938
train,30948
train,40033
train,48124
train,56284
train,9559
train,14794
train,14586
train,26494
train,52610
train,37918
train,53400
train,41497
train,29675
train,7327
train,40729
train,35996
train,14970
train,47240
train,32552
train,23645
train,40963
train,49033
train,58636
train,38735
train,555
train,15963
train,11866
train,53807
train,268
train,40892
train,15853
train,904
train,44516
train,37954
train,39184
train,45070
train,52695
train,39075
train,33182
train,22005
train,4312
train,21558
train,37722
train,56716
train,21364
train,57967
train,19582
train,36648
train,28944
train,34772
train,27629
train,24036
train,60090
train,36357
train,44523
train,51883
train,47989
train,10718
train,1852
train,11755
train,5250
train,41786
train,50724
train,42061
train,57858
train,22481
train,18114
train,59375
train,33967
train,40692
train,55372
train,734
train,54850
train,17855
train,11678
train,55753
train,57513
train,45105
train,35411
train,61450
train,50104
train,41186
train,5462
train,57877
train,54720
train,31243
train,49277
train,52861
train,6452
train,8908
train,30206
train,38784
train,34103
train,29575
train,3551
train,15188
train,27673
train,33821
train,38322
train,49021
train,51664
train,10075
train,12248
train,23590
train,25286
train,38928
train,53522
train,55085
train,32685
train,22598
train,26051
train,27679
train,33828
train,42222
train,8495
train,4598
train,50201
train,14072
train,51660
train,53585
train,22851
train,44122
train,17832
train,59841
train,51694
train,3426
train,31589
train,31311
train,14176
train,8441
train,50083
train,17661
train,27992
train,54543
train,50277
train,21669
train,46286
train,44663
train,16811
train,46591
train,60493
train,27836
train,61212
train,7790
train,28243
train,21460
train,34857
train,14658
train,39339
train,17106
train,1329
train,22684
train,30376
train,1927
train,16776
train,30093
train,45764
train,39283
train,23243
train,43351
train,57750
train,39981
train,30106
train,2272
train,31727
train,48686
train,16351
train,10298
train,51481
train,25601
train,46142
train,61577
train,28720
train,23411
train,9326
train,48983
train,45236
train,40801
train,3430
train,58725
train,713
train,23399
train,58697
train,59396
train,53093
train,26732
train,159
train,40250
train,53718
train,20673
train,28322
train,37377
train,35378
train,23803
train,27496
train,49842
train,8708
train,30397
train,354
train,2429
train,30335
train,6716
train,53162
train,22380
train,53632
train,34421
train,57724
train,19085
train,841
train,44862
train,10655
train,30163
train,7297
train,43350
train,21575
train,30951
train,17510
train,35007
train,14367
train,2628
train,33725
train,60681
train,6537
train,60739
train,36766
train,28435
train,39100
train,46548
train,50723
train,47257
train,48329
train,29533
train,44948
train,38263
train,56994
train,19452
train,38713
train,35436
train,50381
train,16792
train,42283
train,61459
train,38715
train,59045
train,32970
train,50191
train,37113
train,45428
train,11993
train,790
train,59445
train,30847
train,18866
train,46687
train,23588
train,40882
train,10055
train,50338
train,5724
train,47194
train,30649
train,22092
train,31958
train,43329
train,21394
train,59830
train,14785
train,19170
train,59765
train,16890
train,27431
train,30472
train,28919
train,56627
train,43307
train,49693
train,32527
train,35240
train,42386
train,14334
train,43538
train,57072
train,41905
train,5987
train,34013
train,40812
train,24150
train,58133
train,22484
train,51517
train,28075
train,10939
train,31170
train,22328
train,14200
train,35113
train,32398
train,24366
train,39752
train,19849
train,16222
train,5242
train,24633
train,24987
train,38318
train,25289
train,58903
train,5918
train,7150
train,25333
train,26684
train,5763
train,27004
train,3712
train,4702
train,4415
train,21597
train,39447
train,39639
train,49031
train,10581
train,28981
train,13463
train,33421
train,46605
train,31065
train,23356
train,76
train,51612
train,22193
train,24631
train,49278
train,18286
train,13906
train,41636
train,17308
train,54631
train,53370
train,2786
train,573
train,18273
train,15353
train,38497
train,35799
train,10088
train,50366
train,14687
train,41589
train,20630
train,17359
train,34734
train,48996
train,31920
train,45395
train,18786
train,5921
train,31867
train,25195
train,4787
train,25310
train,13708
train,2780
train,49243
train,22431
train,47165
train,18556
train,30317
train,59561
train,13303
train,51085
train,20051
train,10433
train,18869
train,50470
train,11760
train,29116
train,48980
train,61445
train,43748
train,44976
train,9479
train,49826
train,30867
train,39574
train,47224
train,52476
train,5912
train,26518
train,3802
train,11567
train,26874
train,50297
train,23510
train,19260
train,50958
train,52201
train,49879
train,46039
train,55676
train,22986
train,320
train,10325
train,19171
train,51268
train,61939
train,27952
train,50161
train,16472
train,56383
train,26053
train,61850
train,58193
train,33595
train,35403
train,33466
train,953
train,59538
train,36541
train,59710
train,45310
train,18108
train,9485
train,27424
train,28303
train,3093
train,45220
train,27114
train,51946
train,43515
train,28333
train,55096
train,44470
train,36925
train,33389
train,56024
train,24418
train,29850
train,34960
train,52400
train,44678
train,37601
train,23392
train,6335
train,3249
train,43835
train,14412
train,40878
train,55666
train,33889
train,60932
train,20708
train,32328
train,32044
train,25854
train,53978
train,20874
train,41667
train,6994
train,34784
train,34970
train,38253
train,20091
train,10983
train,2898
train,29332
train,37518
train,62132
train,5298
train,50497
train,28935
train,7879
train,36914
train,22947
train,4462
train,27658
train,40055
train,53178
train,10123
train,8633
train,54077
train,53783
train,40931
train,22827
train,58100
train,31848
train,44303
train,8146
train,30606
train,7279
train,11247
train,29766
train,14312
train,26707
train,50318
train,52314
train,57398
train,9916
train,50866
train,45460
train,40062
train,28047
train,42840
train,26700
train,36716
train,56509
train,41631
train,800
train,46492
train,20261
train,8413
train,12614
train,38696
train,43796
train,19063
train,32365
train,58383
train,55360
train,1817
train,19726
train,12567
train,41955
train,45200
train,55291
train,15299
train,28873
train,49533
train,8462
train,38160
train,47156
train,40156
train,62096
train,57245
train,61755
train,630
train,19500
train,51871
train,25519
train,51962
train,29868
train,2972
train,1983
train,6344
train,37764
train,24558
train,7427
train,20582
train,51044
train,56865
train,50697
train,22552
train,7613
train,43815
train,37204
train,60166
train,27965
train,20441
train,43811
train,46733
train,57061
train,1036
train,50966
train,18973
train,57002
train,50290
train,23875
train,61554
train,19632
train,61255
train,21658
train,11537
train,16223
train,41404
train,20085
train,35672
train,38969
train,31383
train,48880
train,29878
train,16625
train,48448
train,51574
train,60297
train,53020
train,1475
train,42661
train,2217
train,7713
train,24163
train,8032
train,5245
train,53866
train,33743
train,7653
train,4466
train,34747
train,10165
train,56631
train,10716
train,20591
train,32522
train,22561
train,57339
train,18969
train,45711
train,26155
train,50368
train,12622
train,55021
train,58275
train,19874
train,25868
train,24412
train,51569
train,30849
train,21591
train,29028
train,29198
train,32757
train,4182
train,11196
train,29479
train,25889
train,3060
train,1384
train,7296
train,8209
train,6405
train,18989
train,11287
train,56032
train,4330
train,55599
train,42737
train,49522
train,30334
train,31085
train,25492
train,46305
train,23476
train,40311
train,40598
train,34202
train,39194
train,21411
train,1050
train,36123
train,8024
train,58740
train,3357
train,51667
train,31733
train,27662
train,51334
train,59777
train,42922
train,26242
train,26525
train,57479
train,53980
train,58318
train,40412
train,18908
train,42777
train,50863
train,46166
train,43125
train,23102
train,26455
train,7315
train,36862
train,60786
train,26273
train,21414
train,60351
train,36660
train,17112
train,30791
train,25209
train,56646
train,7254
train,50867
train,42026
train,20416
train,24573
train,29614
train,19935
train,2195
train,30650
train,20501
train,40736
train,26308
train,25488
train,8022
train,10746
train,58307
train,31176
train,26217
train,49238
train,890
train,19558
train,53555
train,42147
train,57784
train,46479
train,44565
train,50364
train,46097
train,5453
train,48309
train,23951
train,45588
train,2126
train,35570
train,49365
train,58794
train,47147
train,44671
train,49667
train,40504
train,17798
train,3969
train,34005
train,21204
train,10913
train,7195
train,5219
train,16894
train,26386
train,7961
train,47560
train,59523
train,48889
train,27520
train,12145
train,12741
train,49158
train,19604
train,59856
train,48273
train,13727
train,44895
train,4983
train,39062
train,12645
train,37742
train,12823
train,4535
train,34913
train,18170
train,11508
train,61455
train,17441
train,9844
train,41768
train,1861
train,3004
train,3970
train,56203
train,22747
train,18839
train,25328
train,40003
train,56147
train,56878
train,48667
train,29897
train,36186
train,42149
train,56156
train,58764
train,45034
train,59990
train,19970
train,54016
train,31788
train,38973
train,30273
train,30871
train,50320
train,56441
train,34472
train,7681
train,53534
train,35912
train,12750
train,40313
train,58833
train,19717
train,47486
train,24906
train,39334
train,61852
train,9861
train,53814
train,33711
train,28086
train,3649
train,27015
train,9507
train,18648
train,57852
train,5158
train,37071
train,5801
train,49018
train,39221
train,39431
train,44315
train,42611
train,6813
train,3722
train,18521
train,18407
train,41245
train,8363
train,20297
train,24700
train,58871
train,13653
train,29176
train,50405
train,17962
train,10785
train,24042
train,591
train,35256
train,32521
train,60918
train,2788
train,55131
train,19895
train,23353
train,50147
train,51139
train,40118
train,59797
train,39511
train,60119
train,20838
train,61192
train,37308
train,49691
train,57286
train,23134
train,26721
train,41751
train,24815
train,25700
train,38790
train,59000
train,51814
train,24434
train,22228
train,21782
train,61248
train,16621
train,33923
train,17839
train,58436
train,5480
train,49097
train,43486
train,15904
train,52100
train,13532
train,42759
train,3111
train,11998
train,48185
train,11827
train,35410
train,17008
train,44264
train,39469
train,49617
train,49704
train,21350
train,20014
train,34059
train,33977
train,52643
train,9524
train,50586
train,55315
train,31645
train,224
train,38903
train,8741
train,5389
train,33749
train,17156
train,22508
train,14851
train,5084
train,49788
train,8846
train,28349
train,14316
train,13068
train,38421
train,54232
train,60208
train,20109
train,49935
train,50180
train,13904
train,18496
train,60686
train,16128
train,3045
train,18988
train,18632
train,27457
train,8777
train,42115
train,8364
train,38148
train,58226
train,9520
train,50764
train,27389
train,5749
train,21921
train,19122
train,41676
train,43030
train,43705
train,11999
train,33885
train,58781
train,26372
train,52197
train,15940
train,36816
train,57551
train,19203
train,20540
train,22381
train,26706
train,19733
train,40177
train,48232
train,40360
train,6854
train,20062
train,49183
train,57247
train,59808
train,48617
train,47051
train,58695
train,44512
train,25544
train,24096
train,15698
train,40176
train,13832
train,51378
train,12591
train,59967
train,59789
train,54700
train,52303
train,58646
train,9074
train,50949
train,35441
train,50686
train,45224
train,27775
train,54627
train,22045
train,11609
train,19412
train,41539
train,50244
train,19281
train,26644
train,30353
train,2741
train,26811
train,51284
train,49237
train,42596
train,34299
train,51998
train,49314
train,32787
train,38480
train,30304
train,33567
train,6038
train,2043
train,35994
train,21416
train,45165
train,718
train,43264
train,25462
train,19720
train,21971
train,12303
train,35792
train,60640
train,34220
train,53015
train,3783
train,2995
train,1742
train,29582
train,60601
train,15749
train,60359
train,681
train,8781
train,50742
train,31360
train,12322
train,13880
train,50221
train,20531
train,59740
train,32217
train,48114
train,48799
train,44708
train,36468
train,36210
train,46689
train,16335
train,58417
train,13788
